estaca;Area;Esfuerzo;size;distancia;m;c
40;35;1;5;7;5;0
40;35;1;1;8;1;0
40;35;1;7;9;7;0
40;35;1;10;10;10;0
40;35;1;17;11;17;0
40;35;1;15;12;15;0
40;35;1;14;13;14;0
40;35;1;16;14;16;0
40;35;1;12;15;12;0
40;35;1;7;16;7;0
40;35;1;10;17;10;0
40;35;1;9;18;9;0
40;35;1;14;19;14;0
40;35;1;30;20;30;0
41;35;1;1;4;1;0
41;35;1;1;6;1;0
41;35;1;1;7;1;0
41;35;1;1;11;1;0
41;35;1;1;14;1;0
41;35;1;2;15;2;0
41;35;1;1;16;1;0
41;35;1;7;17;7;0
41;35;1;1;18;1;0
41;35;1;1;19;1;0
41;35;1;7;20;7;0
43;35;1;2;4;2;0
43;35;1;1;5;1;0
43;35;1;1;7;1;0
43;35;1;1;8;1;0
43;35;1;7;10;7;0
43;35;1;5;11;5;0
43;35;1;7;12;7;0
43;35;1;8;13;8;0
43;35;1;8;14;8;0
43;35;1;7;15;7;0
43;35;1;3;16;3;0
43;35;1;8;17;8;0
43;35;1;6;18;6;0
43;35;1;11;19;9;2
44;35;1;5;1;5;0
44;35;1;5;2;5;0
44;35;1;7;3;7;0
44;35;1;8;4;8;0
44;35;1;12;5;12;0
44;35;1;13;6;13;0
44;35;1;19;7;19;0
44;35;1;16;8;16;0
44;35;1;20;9;20;0
44;35;1;8;10;8;0
44;35;1;5;11;5;0
44;35;1;9;12;9;0
44;35;1;16;13;16;0
44;35;1;10;14;10;0
44;35;1;15;15;15;0
44;35;1;8;16;8;0
44;35;1;16;17;16;0
44;35;1;13;18;13;0
44;35;1;13;19;13;0
44;35;1;5;20;5;0
