estaca;area;esfuerzo;size;distancia;mata;cueva;ano;mes ;dia;semana;cant_obs
19;34,9898;1;6;17;6;0;2015;;;;
19;34,9898;1;7;18;7;0;2015;;;;
19;34,9898;1;21;19;20;1;2015;;;;
19;34,9898;1;28;20;23;5;2015;;;;
20;34,9898;1;6;5;6;0;2015;;;;
20;34,9898;1;4;6;4;0;2015;;;;
20;34,9898;1;2;7;2;0;2015;;;;
20;34,9898;1;5;8;5;0;2015;;;;
20;34,9898;1;1;10;1;0;2015;;;;
20;34,9898;1;2;11;2;0;2015;;;;
20;34,9898;1;4;12;4;0;2015;;;;
20;34,9898;1;15;13;15;0;2015;;;;
20;34,9898;1;10;14;10;0;2015;;;;
20;34,9898;1;30;15;30;0;2015;;;;
20;34,9898;1;11;16;11;0;2015;;;;
20;34,9898;1;6;17;6;0;2015;;;;
20;34,9898;1;12;18;12;0;2015;;;;
20;34,9898;1;14;19;14;0;2015;;;;
20;34,9898;1;11;20;11;0;2015;;;;
21;34,9898;1;2;1;2;0;2015;;;;
21;34,9898;1;3;2;3;0;2015;;;;
21;34,9898;1;3;3;3;0;2015;;;;
21;34,9898;1;8;4;8;0;2015;;;;
21;34,9898;1;12;5;11;1;2015;;;;
21;34,9898;1;19;6;18;1;2015;;;;
21;34,9898;1;12;7;12;0;2015;;;;
21;34,9898;1;17;8;17;0;2015;;;;
21;34,9898;1;12;9;10;2;2015;;;;
21;34,9898;1;14;10;14;0;2015;;;;
21;34,9898;1;15;11;15;0;2015;;;;
21;34,9898;1;12;12;12;0;2015;;;;
21;34,9898;1;12;13;12;0;2015;;;;
21;34,9898;1;7;14;7;0;2015;;;;
21;34,9898;1;14;15;14;0;2015;;;;
21;34,9898;1;12;16;12;0;2015;;;;
21;34,9898;1;6;17;6;0;2015;;;;
21;34,9898;1;10;18;10;0;2015;;;;
21;34,9898;1;13;19;13;0;2015;;;;
21;34,9898;1;16;20;16;0;2015;;;;
22;34,9898;1;1;2;1;0;2015;;;;
22;34,9898;1;2;3;2;0;2015;;;;
22;34,9898;1;7;4;7;0;2015;;;;
22;34,9898;1;11;5;11;0;2015;;;;
22;34,9898;1;1;6;1;0;2015;;;;
22;34,9898;1;2;7;2;0;2015;;;;
22;34,9898;1;7;8;6;1;2015;;;;
22;34,9898;1;10;9;9;1;2015;;;;
22;34,9898;1;14;10;12;2;2015;;;;
22;34,9898;1;8;11;8;0;2015;;;;
22;34,9898;1;9;12;5;4;2015;;;;
22;34,9898;1;20;13;19;1;2015;;;;
22;34,9898;1;19;14;12;7;2015;;;;
22;34,9898;1;18;15;15;3;2015;;;;
22;34,9898;1;11;16;6;5;2015;;;;
22;34,9898;1;10;17;10;0;2015;;;;
22;34,9898;1;20;18;16;4;2015;;;;
22;34,9898;1;13;19;10;3;2015;;;;
22;34,9898;1;5;20;3;2;2015;;;;
23;34,9898;1;2;5;2;0;2015;;;;
23;34,9898;1;1;6;1;0;2015;;;;
23;34,9898;1;5;7;5;0;2015;;;;
23;34,9898;1;4;8;3;1;2015;;;;
23;34,9898;1;1;9;1;0;2015;;;;
23;34,9898;1;2;10;2;0;2015;;;;
23;34,9898;1;4;11;3;1;2015;;;;
23;34,9898;1;12;12;8;4;2015;;;;
23;34,9898;1;18;13;16;2;2015;;;;
